,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
DanielAlexanderKing,4,4,4,4,2,2,5,5,4,5,2,5,5,4,4,4,3,2,4,5,5,2,3,2,4,5,2,4,4,2,4,5,4,5,2,5,3,5,5,4,1,2,4,5,4,3,4,2,4,5,2,4,2,2,4,5,3,5,2,5,4,5,4,5,2,3,2,5,4,4,3,3,4,5,4,5,1,2,4,5,4,5,2,5,4,4,4,4,2,2,4,4,5,4,2,3,4,4,5,4
JamesMartin,4,4,4,4,2,2,4,5,4,4,4,4,5,5,2,4,3,4,4,4,4,4,4,2,4,5,4,4,4,2,4,5,4,4,2,5,4,5,4,4,2,4,4,4,2,4,4,4,5,4,2,4,2,2,4,5,4,4,4,4,4,5,4,5,4,4,2,4,4,4,4,4,4,4,3,5,2,2,4,5,4,4,3,5,4,4,2,4,4,4,4,4,4,4,4,4,5,5,5,4
GregoryMarshall,5,4,2,5,2,2,3,5,2,5,2,4,5,5,2,4,2,1,4,5,4,4,2,2,2,5,2,4,3,2,3,5,2,5,1,5,3,5,2,4,1,1,4,5,2,4,3,2,3,5,2,5,2,2,4,5,2,5,2,5,3,5,2,5,2,2,2,4,5,4,4,2,2,5,4,5,1,2,4,5,2,5,2,5,5,4,2,2,1,1,4,5,4,4,2,2,4,4,4,4
MartinHawthorne,4,4,2,4,2,4,4,5,2,5,4,5,4,5,2,2,2,2,4,5,4,3,3,2,2,5,2,4,5,5,4,5,2,2,4,5,2,5,2,2,2,2,3,5,2,3,4,2,4,5,1,4,2,4,4,5,2,4,4,5,3,5,4,2,2,3,2,5,5,4,3,4,3,5,4,5,1,5,4,5,1,4,2,5,2,5,2,2,2,2,4,5,4,4,2,2,4,4,5,2
MargaretDelaney,4,4,4,4,2,4,3,4,4,4,4,5,2,4,2,4,4,4,3,4,4,2,4,4,4,5,4,4,5,4,3,5,4,3,4,5,3,5,3,4,2,3,4,5,4,4,5,4,3,4,1,4,2,4,3,5,4,4,4,5,3,5,4,4,3,4,2,4,4,4,5,3,4,5,3,5,1,4,4,5,4,4,4,5,4,4,4,4,2,4,3,4,4,4,4,4,5,5,5,4
BellaWalker,4,4,4,4,2,4,3,5,3,4,4,5,5,4,3,4,2,4,4,4,4,4,4,2,3,5,3,5,4,4,3,5,4,4,4,5,4,4,4,3,4,3,4,4,2,4,4,4,3,4,2,4,2,4,4,5,4,4,4,5,4,4,5,4,4,4,3,4,4,2,4,3,4,4,2,5,4,5,4,5,4,4,4,5,5,4,2,3,2,4,3,4,4,4,4,3,5,4,5,4
RileyEdwards,3,3,4,4,2,4,3,4,2,4,4,5,5,4,3,2,3,4,4,4,5,2,3,2,5,4,3,4,5,4,3,3,3,2,3,5,4,5,2,2,3,4,4,5,3,3,3,4,3,4,2,4,2,5,4,4,3,2,3,5,4,5,3,2,3,4,4,4,4,4,3,3,4,4,3,4,2,5,5,5,4,4,2,5,4,2,3,2,2,4,4,4,4,2,4,4,4,4,5,4
BrianCarter,5,4,4,4,2,2,3,5,2,5,2,5,4,5,2,4,2,1,4,5,4,4,2,2,2,5,2,4,5,2,3,5,2,4,4,5,3,5,2,3,2,1,3,5,2,4,3,2,4,5,1,5,2,4,4,5,2,5,4,5,3,5,4,3,2,2,2,5,4,4,3,4,2,5,4,5,1,4,4,5,2,5,2,5,4,4,2,2,2,1,4,5,4,4,2,2,4,4,5,2
BlakeJohnson,4,4,4,4,2,4,3,4,4,4,4,5,4,4,4,4,3,4,4,4,5,4,4,4,4,3,4,4,4,4,3,5,4,3,2,5,3,4,4,3,3,3,4,4,4,4,5,4,3,4,2,4,2,4,4,4,4,3,2,5,3,4,4,4,4,4,2,4,4,4,4,4,4,4,3,5,2,5,4,5,4,4,2,5,2,3,4,3,4,4,4,4,4,4,4,4,5,5,5,5
MarkusBraun,3,5,2,4,2,4,3,4,2,4,2,5,2,5,2,3,2,4,4,5,5,2,3,2,2,5,2,4,4,5,4,5,2,2,2,5,2,5,2,2,2,3,3,5,2,3,2,4,3,5,2,4,2,4,5,5,2,3,2,5,2,5,2,2,2,4,2,5,4,4,3,3,3,5,3,4,1,5,4,5,2,4,2,5,2,4,2,2,2,4,4,5,4,2,2,4,4,4,5,4
IsabelMartinez,4,4,2,4,2,4,4,5,2,5,2,5,5,4,2,4,2,4,5,4,2,4,4,2,4,4,2,4,4,4,4,5,2,4,4,5,4,5,2,4,2,4,4,4,1,4,4,4,3,4,2,4,2,4,4,5,2,5,4,5,4,4,2,5,4,5,2,2,4,4,4,4,4,4,2,5,2,5,4,5,2,5,4,5,5,3,2,2,4,5,4,4,2,4,4,4,5,5,5,4
RileyCohen,4,4,4,4,3,4,4,4,4,2,4,5,4,4,4,4,4,4,4,5,5,2,5,4,4,4,4,4,4,5,3,4,5,2,4,5,3,5,4,3,4,3,4,5,4,4,5,4,5,4,2,4,3,4,4,4,4,3,4,5,4,4,4,4,4,4,3,5,5,4,4,3,4,4,4,4,2,5,4,5,4,4,4,5,4,4,4,2,4,4,4,4,4,2,4,4,5,5,5,5
LucasBrown,3,4,3,4,2,4,3,4,2,5,4,5,5,5,2,3,2,4,4,5,4,2,3,2,4,5,2,4,4,5,3,5,2,2,4,5,3,5,2,2,4,4,4,5,2,3,4,4,3,4,2,4,2,5,4,5,2,4,4,5,3,5,2,3,3,4,2,5,4,2,4,4,4,5,4,5,2,5,4,5,2,4,3,5,2,4,2,2,2,4,4,4,4,2,4,4,5,4,5,4
MiaGonzalez,4,4,2,4,4,2,3,5,4,5,4,5,5,4,4,5,4,2,4,4,4,4,4,2,3,5,2,4,4,2,3,4,4,5,4,5,4,5,2,5,4,2,4,4,2,5,5,4,3,4,2,5,2,4,2,4,4,5,4,5,5,4,2,5,4,2,2,4,4,4,4,3,3,4,2,4,2,4,2,5,4,5,4,5,5,4,4,4,4,2,3,4,2,4,4,2,5,4,5,5
NathanialReed,4,3,4,4,2,4,4,4,2,4,4,5,4,5,4,3,2,2,4,5,4,2,3,2,4,5,2,4,5,5,4,4,2,2,3,5,3,5,2,3,2,3,4,5,2,3,3,4,3,4,2,4,3,4,5,5,2,3,2,5,2,5,4,2,2,4,2,5,4,2,3,4,3,5,3,4,2,5,5,5,2,4,2,5,2,4,2,2,2,4,4,4,4,2,3,3,4,4,5,4
AvaWhite,4,4,4,4,4,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,5,3,4,4,2,5,5,3,5,4,4,4,4,4,4,4,4,5,5,3,4,2,4,2,4,3,4,4,3,4,5,3,5,4,4,4,4,2,4,4,2,5,4,4,4,4,4,2,5,4,5,4,2,4,5,4,2,4,3,4,4,3,4,4,4,4,4,5,5,5,5
OliverMartinez,3,4,4,4,4,4,3,4,2,4,4,5,2,5,4,2,2,2,4,5,5,2,3,2,2,5,3,4,5,4,3,4,2,2,4,5,2,5,2,2,2,2,3,5,4,3,3,4,3,5,2,4,2,4,4,5,2,3,2,5,2,5,4,2,2,3,2,5,4,2,3,4,3,5,3,5,2,5,4,5,2,4,4,5,2,4,2,2,2,3,2,5,4,2,2,3,4,4,5,4
RileyThomas,3,4,4,4,4,4,3,4,4,3,4,5,4,5,4,4,4,4,4,5,5,4,4,4,3,4,4,4,4,4,3,3,4,2,4,5,3,5,4,4,4,3,4,5,4,4,5,4,3,4,2,4,4,4,3,4,5,2,2,5,3,5,4,4,4,4,2,5,4,4,5,4,4,4,4,4,2,5,2,5,4,2,4,5,2,2,4,2,4,4,3,4,4,4,4,4,5,5,5,5
CynthiaMorris,4,2,4,4,4,4,4,3,4,5,4,5,5,3,4,4,4,4,4,4,5,2,4,3,4,2,4,4,5,4,3,4,4,2,3,5,4,4,4,4,3,3,4,4,4,4,5,4,3,2,2,4,3,4,4,2,4,5,2,5,4,4,4,5,4,4,4,4,4,4,4,3,4,2,2,4,2,5,4,4,4,5,4,5,5,2,4,3,4,4,4,2,4,4,4,3,5,4,5,5
StevenPhillips,3,2,4,4,3,4,4,5,4,4,4,5,4,5,2,4,3,4,4,5,5,2,4,4,4,5,4,4,4,5,3,5,4,2,2,5,3,5,3,3,2,3,4,5,4,4,5,4,3,5,2,4,2,5,4,5,4,4,4,5,3,5,4,4,3,4,2,4,4,4,4,3,4,5,4,5,1,5,5,5,4,4,2,5,2,4,4,2,2,4,4,4,4,2,4,3,5,5,5,4
PeytonBailey,4,4,4,4,2,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,5,2,5,4,4,4,4,4,4,4,3,5,5,3,4,5,4,4,4,4,4,4,4,4,4,4,5,5,3,4,2,4,2,4,4,4,5,4,4,5,4,4,4,5,4,4,2,4,4,4,5,4,4,4,4,4,2,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
EvanSmith,3,2,4,4,2,4,3,4,2,2,4,5,5,4,2,2,2,4,4,4,4,2,3,2,2,4,3,4,4,4,4,4,3,2,2,5,3,5,4,2,2,3,4,4,3,3,3,4,3,4,2,3,2,4,4,4,3,2,2,5,4,5,2,2,2,4,4,4,4,2,3,4,4,4,3,4,2,5,4,5,4,2,3,5,4,4,2,2,2,4,4,4,4,2,2,4,4,4,5,4
NinaPatel,5,4,4,4,4,4,3,4,4,4,4,5,4,5,4,4,4,4,4,4,5,3,4,2,3,5,4,4,5,4,3,4,4,2,4,5,4,5,4,3,4,3,4,5,4,4,5,4,3,4,2,4,4,4,3,4,4,3,2,5,4,5,4,4,4,4,2,5,4,4,5,3,4,5,4,4,2,5,2,5,4,2,4,5,5,4,3,2,4,3,3,4,4,2,4,4,5,5,5,5
RileyJordan,4,4,4,4,2,4,4,4,2,5,2,5,4,5,2,4,4,4,4,4,4,2,4,2,4,5,4,4,5,5,3,4,4,4,4,5,4,4,2,4,2,4,4,5,2,4,4,4,3,5,2,4,2,4,4,5,4,5,2,5,4,4,4,4,4,4,2,5,4,4,4,4,4,4,4,5,2,5,4,5,4,5,2,5,2,4,4,3,4,4,4,4,4,4,4,4,5,4,5,4
DanielThompson,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,5,5,4,4,4,2,4,5,4,4,4,3,2,4,4,4,4,4,5,4,3,4,2,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,5,5,5,4,4,4,5,2,4,4,2,4,4,4,4,4,2,4,4,5,4,5,5
EthanWright,5,5,3,4,2,4,3,5,2,4,4,5,5,5,2,4,3,4,4,5,5,3,3,2,3,5,3,4,4,4,4,5,2,2,4,5,4,5,2,2,3,2,4,5,2,4,4,4,3,5,2,4,2,4,4,5,2,3,2,5,5,5,4,2,2,3,2,4,4,4,4,4,4,5,4,4,2,5,4,5,4,4,4,5,5,5,2,2,2,4,4,5,4,4,3,3,5,4,5,4
LucasMarshall,3,3,4,4,2,4,3,4,2,2,4,5,5,5,4,2,2,4,4,5,5,2,3,2,2,4,3,4,4,4,3,5,4,2,2,5,3,5,2,2,2,3,4,5,4,3,3,4,3,4,2,3,2,4,4,5,3,2,2,5,4,5,4,2,2,3,2,5,4,2,4,3,3,4,3,4,2,5,4,5,4,2,2,5,4,4,2,2,2,4,3,4,4,2,3,4,4,4,5,4
IsabellaMorris,4,4,4,4,2,4,5,4,3,5,4,5,5,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,2,4,5,4,2,4,3,5,4,4,4,4,2,3,5,4,2,4,4,4,3,4,2,4,2,4,4,4,4,4,4,5,4,4,2,4,4,4,2,2,4,4,4,3,4,4,3,4,2,5,4,5,2,4,4,5,5,2,2,4,4,3,4,4,4,4,4,3,5,4,5,4
AvaScott,3,3,4,4,2,4,3,4,2,2,4,5,5,4,4,2,2,4,4,5,4,3,3,3,2,4,3,4,4,4,3,5,4,1,2,5,3,5,4,2,3,3,4,5,3,3,3,4,3,4,2,3,3,4,4,4,3,2,2,5,3,5,4,2,2,3,2,5,4,2,3,4,3,4,3,4,2,5,4,5,4,2,3,5,4,4,2,2,2,4,3,4,4,2,2,4,4,4,5,4
GraceHamilton,4,4,4,4,4,4,4,3,4,2,4,5,2,4,2,4,3,4,4,4,5,2,4,4,5,4,4,4,5,5,4,3,4,2,2,5,4,5,2,2,2,4,3,5,4,4,4,4,4,5,2,4,4,4,2,4,4,2,2,5,4,5,4,2,4,5,2,4,4,4,4,3,4,4,4,4,2,5,5,5,4,2,3,5,4,2,3,2,2,4,4,4,4,2,4,4,5,4,5,4
DianaWatson,4,4,4,4,2,2,3,5,4,5,4,5,5,4,2,5,2,2,4,4,4,4,3,2,2,5,3,5,4,2,3,5,4,5,2,5,3,4,2,5,2,2,4,4,2,4,4,4,3,4,2,5,2,4,2,5,2,5,2,5,4,4,3,5,4,2,2,4,4,4,4,4,3,5,2,5,2,4,2,5,2,5,4,5,4,4,2,4,4,2,2,4,4,5,4,2,4,4,5,4
FionaStewart,4,4,4,4,2,4,3,5,2,4,4,5,5,5,4,4,4,4,4,4,5,4,4,2,4,4,2,4,4,4,4,4,4,2,4,5,4,5,2,2,4,4,4,5,2,4,4,4,3,5,2,4,2,4,4,4,4,3,4,5,4,5,4,2,4,4,2,4,4,2,4,4,5,5,3,4,2,5,4,5,4,2,4,5,4,4,2,2,4,4,4,4,4,2,4,4,5,4,5,4
HeatherJones,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,5,4,3,3,4,2,2,5,4,4,3,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,2,5,4,4,4,4,4,4,2,4,5,4,4,4,4,4,4,5,2,5,4,5,4,4,2,5,4,2,4,3,4,4,4,4,4,4,4,4,5,4,5,5
IanDouglas,4,2,4,4,2,4,5,4,4,4,4,5,5,2,4,3,3,4,5,4,5,2,3,2,4,2,3,4,4,4,4,4,4,2,2,5,4,2,4,3,4,3,4,4,3,3,4,4,4,2,2,4,3,4,5,4,4,4,4,5,4,5,4,2,3,4,4,4,4,4,4,4,4,2,4,4,3,5,5,5,4,4,2,5,4,2,4,2,2,4,5,4,4,2,4,4,4,4,5,5
JuliaSanchez,5,2,4,4,2,4,3,4,4,4,4,4,5,4,4,3,3,4,4,3,4,2,3,2,2,2,2,4,4,4,4,4,4,3,4,5,5,4,4,3,3,3,4,4,2,4,4,4,3,2,2,4,2,4,4,2,4,3,4,5,5,4,3,2,3,4,4,2,3,4,4,4,3,2,2,4,2,5,4,4,4,3,4,5,5,4,4,2,4,4,4,2,4,4,4,3,5,4,5,4
QuinnDavidson,3,2,2,4,2,4,3,4,2,4,4,5,5,5,2,2,2,4,4,5,4,2,2,2,2,5,2,4,2,5,4,5,2,2,5,5,3,5,2,2,2,4,4,5,2,2,4,4,2,5,1,4,2,4,4,5,2,2,4,5,3,5,4,1,2,4,2,5,4,2,3,4,2,5,2,5,2,5,4,5,2,4,4,5,2,4,2,2,2,4,3,5,4,2,2,4,4,4,4,4
ThomasWright,4,4,4,4,2,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,5,3,4,4,2,4,5,3,5,4,3,4,4,4,4,2,4,5,4,3,4,2,4,2,4,4,4,4,3,4,5,4,5,4,4,4,4,2,4,4,2,4,4,4,4,3,4,2,5,4,5,4,2,4,5,2,2,4,3,2,4,4,4,4,2,5,4,5,5,5,5
MarcusBlackwood,2,2,2,4,2,4,3,5,2,2,2,4,5,5,2,1,2,4,4,5,4,2,2,2,1,4,2,2,2,5,3,5,2,1,2,5,2,5,2,1,1,4,4,5,2,2,2,2,2,5,1,2,2,4,4,5,1,2,4,5,4,5,2,1,2,4,4,5,4,2,3,4,2,5,2,5,1,4,4,5,2,1,2,4,4,4,2,1,1,4,2,4,4,2,2,4,3,3,4,2
